D_J,M_J,E_J,mechanism_class,max_abs_delta_q,mean_abs_delta_q,time_to_divergence_mean,max_abs_direct,mean_abs_direct,max_abs_modulation,mean_abs_modulation,experiment,batch_idx
1,1,1,"(1,1)",2.050443410873413,0.4193394184112549,25.4375,0.10234427452087402,0.03297245502471924,0.08886191248893738,0.01702304556965828,binary_additive,0
1,1,1,"(1,1)",2.0984115600585938,0.37503787875175476,27.09375,0.10120904445648193,0.02944357879459858,0.09394009411334991,0.015256098471581936,binary_additive,1
1,1,1,"(1,1)",2.2540624141693115,0.42121121287345886,26.1875,0.10777318477630615,0.032868463546037674,0.1028355211019516,0.016997642815113068,binary_additive,2
1,1,1,"(1,1)",2.099581003189087,0.40936562418937683,25.8125,0.1027066707611084,0.03212477266788483,0.08506400883197784,0.01660044677555561,binary_additive,3
1,1,1,"(1,1)",2.173293352127075,0.4619193971157074,25.21875,0.10663294792175293,0.036171555519104004,0.09540438652038574,0.018352225422859192,binary_additive,4
1,1,1,"(1,1)",2.132568597793579,0.4562787711620331,25.0,0.10511898994445801,0.03574705123901367,0.09215676784515381,0.018434876576066017,binary_additive,5
1,1,1,"(1,1)",2.0459744930267334,0.40906262397766113,25.59375,0.10146546363830566,0.03204847127199173,0.09107321500778198,0.01660543866455555,binary_additive,6
1,1,1,"(1,1)",2.0798590183258057,0.41095811128616333,25.84375,0.10074710845947266,0.032228998839855194,0.09300875663757324,0.016699355095624924,binary_additive,7
1,1,1,"(1,1)",1.9846595525741577,0.38230931758880615,29.483870967741936,0.09457457065582275,0.028692668303847313,0.4571601152420044,0.04402269423007965,context_gated,0
1,1,1,"(1,1)",2.026493787765503,0.38507020473480225,29.0,0.09741902351379395,0.023786351084709167,0.45690709352493286,0.03972034901380539,context_gated,1
1,1,1,"(1,1)",1.7900546789169312,0.4404522478580475,23.9375,0.08485680818557739,0.028187643736600876,0.4667472839355469,0.04506007954478264,context_gated,2
1,1,1,"(1,1)",2.0050768852233887,0.41985100507736206,27.419354838709676,0.097450852394104,0.028110837563872337,0.4642307162284851,0.037629928439855576,context_gated,3
1,1,1,"(1,1)",2.1607372760772705,0.4413283169269562,26.633333333333333,0.10161519050598145,0.02731970325112343,0.3926805257797241,0.04054750129580498,context_gated,4
1,1,1,"(1,1)",1.976973533630371,0.39748454093933105,27.096774193548388,0.0935211181640625,0.027151405811309814,0.42401403188705444,0.04044513776898384,context_gated,5
1,1,1,"(1,1)",1.8178260326385498,0.3874293565750122,25.59375,0.08253544569015503,0.024558886885643005,0.41889530420303345,0.03532005101442337,context_gated,6
1,1,1,"(1,1)",1.9214967489242554,0.3452323377132416,28.129032258064516,0.08954894542694092,0.023353731259703636,0.46559828519821167,0.04804515838623047,context_gated,7
1,1,1,"(1,1)",1.978662371635437,0.3627924621105194,36.70967741935484,0.07861614227294922,0.0193172637373209,0.06318493187427521,0.01600458286702633,delayed_gated,0
1,1,1,"(1,1)",1.900566577911377,0.42016226053237915,34.5625,0.07554316520690918,0.022328810766339302,0.0638430118560791,0.018985608592629433,delayed_gated,1
1,1,1,"(1,1)",1.8777071237564087,0.38648006319999695,35.625,0.07455265522003174,0.020627638325095177,0.06292732059955597,0.017369436100125313,delayed_gated,2
1,1,1,"(1,1)",1.8834052085876465,0.4318177103996277,34.71875,0.07471716403961182,0.022936590015888214,0.06342737376689911,0.01939215697348118,delayed_gated,3
1,1,1,"(1,1)",1.8801990747451782,0.39604413509368896,35.34375,0.0748828649520874,0.02106412686407566,0.06192798912525177,0.018419135361909866,delayed_gated,4
1,1,1,"(1,1)",1.9016841650009155,0.4625723361968994,34.21875,0.07513713836669922,0.024530256167054176,0.06309720873832703,0.02028144896030426,delayed_gated,5
1,1,1,"(1,1)",1.961181879043579,0.4127311110496521,34.9375,0.07783627510070801,0.02198799140751362,0.0625745952129364,0.01854000799357891,delayed_gated,6
1,1,1,"(1,1)",1.8824436664581299,0.4172360599040985,34.5625,0.07453441619873047,0.022122174501419067,0.06299038231372833,0.018971171230077744,delayed_gated,7
1,0,1,"(1,0)",1.2146601676940918,0.2776229679584503,22.375,0.07816779613494873,0.02347361110150814,0.03395658731460571,0.0056131635792553425,redundant_lowrank,0
1,0,1,"(1,0)",1.2328107357025146,0.29813840985298157,22.03125,0.07949721813201904,0.025036340579390526,0.03659069538116455,0.005951335188001394,redundant_lowrank,1
1,1,1,"(1,1)",1.2052017450332642,0.32183489203453064,21.625,0.07769954204559326,0.02716100960969925,0.04559659957885742,0.006590161006897688,redundant_lowrank,2
1,0,1,"(1,0)",1.1990703344345093,0.3207695484161377,21.25,0.07707357406616211,0.02706965245306492,0.029292404651641846,0.00588466040790081,redundant_lowrank,3
1,0,1,"(1,0)",1.2508647441864014,0.29386791586875916,22.21875,0.08075833320617676,0.024846279993653297,0.027938783168792725,0.005400555208325386,redundant_lowrank,4
1,0,1,"(1,0)",1.230102777481079,0.30397579073905945,21.84375,0.07901740074157715,0.025709031149744987,0.03946864604949951,0.006015524733811617,redundant_lowrank,5
1,0,1,"(1,0)",1.2748744487762451,0.2846828103065491,23.78125,0.08330345153808594,0.023935914039611816,0.03471451997756958,0.005120962392538786,redundant_lowrank,6
1,0,1,"(1,0)",1.2159841060638428,0.28390517830848694,22.0,0.07842767238616943,0.02386893332004547,0.03267860412597656,0.005716921761631966,redundant_lowrank,7
1,1,1,"(1,1)",1.4754672050476074,0.4141022861003876,24.125,0.10487556457519531,0.030423076823353767,0.3814629316329956,0.0433717705309391,state_setting_reciprocal,0
1,1,1,"(1,1)",1.462207317352295,0.35627052187919617,26.0,0.10409653186798096,0.026782957836985588,0.3795279860496521,0.037613797932863235,state_setting_reciprocal,1
1,1,1,"(1,1)",1.458500623703003,0.42001432180404663,24.96875,0.10356271266937256,0.030040817335247993,0.3736039996147156,0.030558396130800247,state_setting_reciprocal,2
1,1,1,"(1,1)",1.4161962270736694,0.324983686208725,29.375,0.10102933645248413,0.023249996826052666,0.314029335975647,0.0266038216650486,state_setting_reciprocal,3
1,1,1,"(1,1)",1.4905682802200317,0.4136572480201721,23.6875,0.10181909799575806,0.03179795295000076,0.37250322103500366,0.03054739534854889,state_setting_reciprocal,4
1,1,1,"(1,1)",1.624443531036377,0.47523149847984314,22.21875,0.10983872413635254,0.035874608904123306,0.37711894512176514,0.03450614586472511,state_setting_reciprocal,5
1,1,1,"(1,1)",1.564781904220581,0.4636908173561096,23.59375,0.1057199239730835,0.03263130784034729,0.37421947717666626,0.040629979223012924,state_setting_reciprocal,6
1,1,1,"(1,1)",1.4827630519866943,0.4282527565956116,23.65625,0.10526281595230103,0.03081989288330078,0.37729716300964355,0.041152358055114746,state_setting_reciprocal,7
